19:37:36.921 INFO  NativeLibraryLoader - Loading libgkl_compression.so from jar:file:/home/aiden/softwares/gatk-4.1.4.1/gatk-package-4.1.4.1-local.jar!/com/intel/gkl/native/libgkl_compression.so
Apr 20, 2020 7:37:37 PM shaded.cloud_nio.com.google.auth.oauth2.ComputeEngineCredentials runningOnComputeEngine
INFO: Failed to detect whether we are running on Google Compute Engine.
19:37:37.090 INFO  SplitNCigarReads - ------------------------------------------------------------
19:37:37.091 INFO  SplitNCigarReads - The Genome Analysis Toolkit (GATK) v4.1.4.1
19:37:37.091 INFO  SplitNCigarReads - For support and documentation go to https://software.broadinstitute.org/gatk/
19:37:37.091 INFO  SplitNCigarReads - Executing as aiden@baderlab-Precision-Tower-5810 on Linux v5.3.0-40-generic amd64
19:37:37.091 INFO  SplitNCigarReads - Java runtime: OpenJDK 64-Bit Server VM v1.8.0_152-release-1056-b12
19:37:37.091 INFO  SplitNCigarReads - Start Date/Time: April 20, 2020 7:37:36 EDT PM
19:37:37.091 INFO  SplitNCigarReads - ------------------------------------------------------------
19:37:37.091 INFO  SplitNCigarReads - ------------------------------------------------------------
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Version: 2.21.0
19:37:37.092 INFO  SplitNCigarReads - Picard Version: 2.21.2
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Defaults.COMPRESSION_LEVEL : 2
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Defaults.USE_ASYNC_IO_READ_FOR_SAMTOOLS : false
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_SAMTOOLS : true
19:37:37.092 INFO  SplitNCigarReads - HTSJDK Defaults.USE_ASYNC_IO_WRITE_FOR_TRIBBLE : false
19:37:37.092 INFO  SplitNCigarReads - Deflater: IntelDeflater
19:37:37.092 INFO  SplitNCigarReads - Inflater: IntelInflater
19:37:37.092 INFO  SplitNCigarReads - GCS max retries/reopens: 20
19:37:37.092 INFO  SplitNCigarReads - Requester pays: disabled
19:37:37.092 INFO  SplitNCigarReads - Initializing engine
19:37:37.351 INFO  SplitNCigarReads - Done initializing engine
19:37:37.378 INFO  ProgressMeter - Starting traversal
19:37:37.378 INFO  ProgressMeter -        Current Locus  Elapsed Minutes       Reads Processed     Reads/Minute
19:48:19.105 INFO  ProgressMeter -           2:27889935             10.7              20994000        1962890.8
19:48:29.108 INFO  ProgressMeter -           2:47690713             10.9              21317000        1962499.8
19:48:39.119 INFO  ProgressMeter -           2:65407099             11.0              21610000        1959376.9
19:48:49.119 INFO  ProgressMeter -           2:95867503             11.2              21958000        1961291.6
19:48:59.126 INFO  ProgressMeter -          2:114422565             11.4              22253000        1958465.6
19:49:09.145 INFO  ProgressMeter -          2:168828446             11.5              22569000        1957508.8
19:49:19.173 INFO  ProgressMeter -          2:197055424             11.7              22906000        1958349.7
19:49:29.182 INFO  ProgressMeter -          2:218272724             11.9              23231000        1958207.6
19:49:39.184 INFO  ProgressMeter -            20:431974             12.0              23568000        1959086.0
19:49:49.202 INFO  ProgressMeter -          20:32359843             12.2              23974000        1965554.6
19:49:59.238 INFO  ProgressMeter -          20:49005368             12.4              24298000        1965168.6
19:50:09.412 INFO  ProgressMeter -           21:8210221             12.5              25071000        2000258.0
19:50:19.412 INFO  ProgressMeter -           21:8217444             12.7              26763000        2107228.8
19:50:29.414 INFO  ProgressMeter -           21:8254572             12.9              27743000        2156091.2
19:50:39.569 INFO  ProgressMeter -           21:8260465             13.0              28819000        2210636.5
19:50:49.807 INFO  ProgressMeter -           21:8393321             13.2              29644000        2244544.6
19:50:59.955 INFO  ProgressMeter -           21:8393687             13.4              30394000        2272230.6
19:51:09.966 INFO  ProgressMeter -           21:8401737             13.5              31177000        2302052.2
19:51:19.966 INFO  ProgressMeter -           21:8437547             13.7              32035000        2336649.7
19:51:29.973 INFO  ProgressMeter -           21:8438370             13.9              32900000        2370900.6
19:51:39.985 INFO  ProgressMeter -           21:8448033             14.0              33589000        2391791.2
19:51:50.089 INFO  ProgressMeter -          21:39253107             14.2              34031000        2394551.0
19:52:00.120 INFO  ProgressMeter -          22:19523323             14.4              34350000        2388894.9
19:52:10.148 INFO  ProgressMeter -          22:35838354             14.5              34668000        2383308.3
19:52:20.181 INFO  ProgressMeter -          22:39313646             14.7              34935000        2374368.9
19:52:30.193 INFO  ProgressMeter -           3:14887327             14.9              35327000        2374086.5
19:52:40.194 INFO  ProgressMeter -           3:40462097             15.0              35733000        2374769.6
19:52:50.194 INFO  ProgressMeter -           3:51993671             15.2              36041000        2368998.8
19:53:00.207 INFO  ProgressMeter -           3:70958522             15.4              36354000        2363644.8
19:53:10.221 INFO  ProgressMeter -          3:119629634             15.5              36692000        2360011.3
19:53:20.233 INFO  ProgressMeter -          3:149369131             15.7              37026000        2356205.4
19:53:30.274 INFO  ProgressMeter -          3:173978729             15.9              37347000        2351589.3
19:53:40.274 INFO  ProgressMeter -            4:6844092             16.0              37728000        2350908.1
19:53:50.306 INFO  ProgressMeter -           4:54014106             16.2              38057000        2346956.8
19:54:00.336 INFO  ProgressMeter -           4:87484494             16.4              38356000        2341259.7
19:54:10.344 INFO  ProgressMeter -          4:108622563             16.5              38663000        2336212.9
19:54:20.356 INFO  ProgressMeter -          4:153801065             16.7              38981000        2331915.6
19:54:30.361 INFO  ProgressMeter -           5:38555713             16.9              39424000        2335123.1
19:54:40.363 INFO  ProgressMeter -           5:60388207             17.0              39770000        2332587.8
19:54:50.370 INFO  ProgressMeter -           5:80833581             17.2              40135000        2331191.7
19:55:00.370 INFO  ProgressMeter -          5:109716353             17.4              40486000        2329030.3
19:55:10.397 INFO  ProgressMeter -          5:139330198             17.6              40829000        2326396.8
19:55:20.425 INFO  ProgressMeter -          5:150445653             17.7              41093000        2319351.8
19:55:30.454 INFO  ProgressMeter -          5:180601566             17.9              41438000        2316965.4
19:55:40.462 INFO  ProgressMeter -           6:29944198             18.1              41868000        2319376.9
19:55:50.478 INFO  ProgressMeter -           6:31637585             18.2              42125000        2312231.3
19:56:00.490 INFO  ProgressMeter -           6:33276207             18.4              42502000        2311750.8
19:56:10.529 INFO  ProgressMeter -           6:43029486             18.6              42836000        2308905.1
19:56:20.709 INFO  ProgressMeter -           6:73520029             18.7              43217000        2308331.2
19:56:30.712 INFO  ProgressMeter -          6:124778893             18.9              43519000        2303945.7
19:56:40.722 INFO  ProgressMeter -          6:142783124             19.1              43795000        2298258.4
19:56:50.747 INFO  ProgressMeter -          6:159688390             19.2              44129000        2295657.3
19:57:00.920 INFO  ProgressMeter -           7:22510443             19.4              44516000        2295542.4
19:57:10.939 INFO  ProgressMeter -           7:45913039             19.6              44830000        2291998.5
19:57:20.947 INFO  ProgressMeter -           7:87673570             19.7              45159000        2289296.2
19:57:30.963 INFO  ProgressMeter -          7:105173526             19.9              45474000        2285920.1
19:57:40.972 INFO  ProgressMeter -          7:131661949             20.1              45804000        2283361.3
19:57:50.976 INFO  ProgressMeter -          7:155781216             20.2              46098000        2279074.3
19:58:00.992 INFO  ProgressMeter -           8:27610586             20.4              46447000        2277532.0
19:58:10.993 INFO  ProgressMeter -           8:58564711             20.6              46772000        2274876.9
19:58:21.011 INFO  ProgressMeter -           8:99606786             20.7              47093000        2272036.8
19:58:31.011 INFO  ProgressMeter -          8:140528473             20.9              47403000        2268750.1
19:58:41.014 INFO  ProgressMeter -           9:19376554             21.1              47754000        2267456.8
19:58:51.025 INFO  ProgressMeter -           9:64632471             21.2              48120000        2266876.1
19:59:01.047 INFO  ProgressMeter -           9:92778579             21.4              48440000        2264136.8
19:59:11.061 INFO  ProgressMeter -          9:127121711             21.6              48761000        2261496.8
19:59:21.231 INFO  ProgressMeter -          9:133351044             21.7              49128000        2260745.7
19:59:31.236 INFO  ProgressMeter -               MT:847             21.9              49482000        2259696.3
19:59:41.244 INFO  ProgressMeter -              MT:1115             22.1              49606000        2248233.6
19:59:51.315 INFO  ProgressMeter -              MT:1237             22.2              49675000        2234363.4
20:00:01.404 INFO  ProgressMeter -              MT:1352             22.4              49737000        2220358.8
20:00:11.559 INFO  ProgressMeter -              MT:1668             22.6              49795000        2206278.2
20:00:21.598 INFO  ProgressMeter -              MT:1709             22.7              49849000        2192417.6
20:00:31.722 INFO  ProgressMeter -              MT:1870             22.9              49930000        2179803.6
20:00:41.740 INFO  ProgressMeter -              MT:1922             23.1              49999000        2167019.9
20:00:51.843 INFO  ProgressMeter -              MT:1958             23.2              50066000        2154202.5
20:01:01.969 INFO  ProgressMeter -              MT:1988             23.4              50130000        2141406.3
20:01:12.167 INFO  ProgressMeter -              MT:2015             23.6              50188000        2128430.5
20:01:22.245 INFO  ProgressMeter -              MT:2035             23.7              50240000        2115565.9
20:01:32.324 INFO  ProgressMeter -              MT:2058             23.9              50291000        2102838.7
20:01:42.495 INFO  ProgressMeter -              MT:2095             24.1              50344000        2090239.1
20:01:52.585 INFO  ProgressMeter -              MT:2125             24.3              50395000        2077848.7
20:02:02.649 INFO  ProgressMeter -              MT:2151             24.4              50455000        2066034.2
20:02:12.680 INFO  ProgressMeter -              MT:2178             24.6              50527000        2054914.9
20:02:22.824 INFO  ProgressMeter -              MT:2203             24.8              50592000        2043507.5
20:02:32.945 INFO  ProgressMeter -              MT:2224             24.9              50654000        2032165.7
20:02:42.978 INFO  ProgressMeter -              MT:2243             25.1              50715000        2021054.7
20:02:53.088 INFO  ProgressMeter -              MT:2264             25.3              50778000        2010067.9
20:03:03.253 INFO  ProgressMeter -              MT:2288             25.4              50840000        1999115.3
20:03:13.441 INFO  ProgressMeter -              MT:2315             25.6              50900000        1988201.0
20:03:23.494 INFO  ProgressMeter -              MT:2349             25.8              50953000        1977329.0
20:03:33.742 INFO  ProgressMeter -              MT:2502             25.9              51013000        1966622.2
20:03:43.864 INFO  ProgressMeter -              MT:2855             26.1              51085000        1956672.5
20:03:53.888 INFO  ProgressMeter -              MT:2992             26.3              51156000        1946933.4
20:04:04.011 INFO  ProgressMeter -              MT:3305             26.4              51226000        1937160.0
20:04:14.093 INFO  ProgressMeter -              MT:5187             26.6              51289000        1927294.5
20:04:24.282 INFO  ProgressMeter -              MT:7743             26.8              51387000        1918733.2
20:04:34.294 INFO  ProgressMeter -              MT:9787             26.9              51564000        1913420.4
20:04:44.308 INFO  ProgressMeter -             MT:15600             27.1              51766000        1909092.6
20:04:54.316 INFO  ProgressMeter -           X:44941776             27.3              52210000        1913695.0
20:05:04.340 INFO  ProgressMeter -           X:72272756             27.4              52541000        1914106.1
20:05:14.359 INFO  ProgressMeter -          X:119786614             27.6              52906000        1915750.3
20:05:24.362 INFO  ProgressMeter -          X:154400808             27.8              53222000        1915627.3
20:05:34.500 INFO  ProgressMeter -    KI270733.1:131593             28.0              55156000        1973237.5
20:05:44.500 INFO  ProgressMeter -    KI270733.1:171612             28.1              56283000        2001621.7
20:05:54.500 INFO  ProgressMeter -    KI270733.1:177366             28.3              57739000        2041302.9
20:06:04.504 INFO  ProgressMeter -    GL000220.1:109873             28.5              59116000        2077738.9
20:06:14.574 INFO  ProgressMeter -    GL000220.1:115625             28.6              60157000        2101926.6
20:06:24.612 INFO  ProgressMeter -    GL000220.1:118267             28.8              60444000        2099680.8
20:06:34.632 INFO  ProgressMeter -    GL000220.1:153501             29.0              60686000        2095928.4
20:06:44.637 INFO  ProgressMeter -    GL000220.1:153634             29.1              60934000        2092443.1
20:06:54.648 INFO  ProgressMeter -    GL000220.1:153695             29.3              61193000        2089367.1
20:07:04.710 INFO  ProgressMeter -    GL000220.1:153835             29.5              61494000        2087689.2
20:07:14.713 INFO  ProgressMeter -    GL000220.1:153943             29.6              61770000        2085256.9
20:07:24.727 INFO  ProgressMeter -    GL000220.1:154190             29.8              62067000        2083543.8
20:07:34.729 INFO  ProgressMeter -    GL000220.1:159732             30.0              62580000        2089074.4
20:07:44.747 INFO  ProgressMeter -             unmapped             30.1              64147000        2129515.3
20:07:54.935 INFO  ProgressMeter -             unmapped             30.3              65647000        2167095.7
20:08:05.235 INFO  ProgressMeter -             unmapped             30.5              66997000        2199198.3
20:08:15.236 INFO  ProgressMeter -             unmapped             30.6              68548000        2237866.0
20:08:25.236 INFO  ProgressMeter -             unmapped             30.8              70083000        2275596.9
20:08:35.301 INFO  ProgressMeter -             unmapped             31.0              71647000        2313777.3
20:08:45.382 INFO  ProgressMeter -             unmapped             31.1              73222000        2351879.3
20:08:55.436 INFO  ProgressMeter -             unmapped             31.3              74797000        2389606.7
20:09:05.489 INFO  ProgressMeter -             unmapped             31.5              76372000        2426933.6
20:09:06.114 INFO  SplitNCigarReads - No reads filtered by: AllowAllReadsReadFilter
20:09:06.545 INFO  OverhangFixingManager - Overhang Fixing Manager saved 386938 reads in the first pass
20:09:06.547 INFO  SplitNCigarReads - Starting traversal pass 2
20:09:15.501 INFO  ProgressMeter -           1:19431729             31.6              76864000        2429684.5
20:09:25.501 INFO  ProgressMeter -           1:23979102             31.8              77073000        2423523.0
20:09:35.536 INFO  ProgressMeter -           1:36275373             32.0              77348000        2419446.2
20:09:45.796 INFO  ProgressMeter -           1:44776767             32.1              77540000        2412547.5
20:09:55.799 INFO  ProgressMeter -           1:61457772             32.3              77851000        2409725.4
20:10:05.864 INFO  ProgressMeter -           1:86360767             32.5              78154000        2406607.0
20:10:16.219 INFO  ProgressMeter -           1:98661839             32.6              78409000        2401695.7
20:10:26.327 INFO  ProgressMeter -          1:121210043             32.8              78686000        2397807.2
20:10:36.343 INFO  ProgressMeter -          1:150810438             33.0              78931000        2393100.6
20:10:46.362 INFO  ProgressMeter -          1:156137138             33.1              79199000        2389129.3
20:10:56.413 INFO  ProgressMeter -          1:172348349             33.3              79480000        2385551.0
20:11:06.492 INFO  ProgressMeter -          1:196725149             33.5              79684000        2379675.8
20:11:16.506 INFO  ProgressMeter -          1:226065693             33.7              79997000        2377174.7
20:11:26.717 INFO  ProgressMeter -          1:244862921             33.8              80223000        2371895.5
20:11:36.801 INFO  ProgressMeter -          10:17235875             34.0              80481000        2367757.9
20:11:46.815 INFO  ProgressMeter -          10:32040954             34.2              80728000        2363419.8
20:11:59.097 INFO  ProgressMeter -          10:69356061             34.4              81016000        2357721.9
20:12:09.098 INFO  ProgressMeter -          10:87060820             34.5              81306000        2354739.1
20:12:19.118 INFO  ProgressMeter -          10:99956886             34.7              81501000        2349025.3
20:12:29.132 INFO  ProgressMeter -         10:125155497             34.9              81775000        2345639.1
20:12:39.136 INFO  ProgressMeter -           11:8684846             35.0              82089000        2343438.2
20:12:49.136 INFO  ProgressMeter -          11:17147464             35.2              82328000        2339131.7
20:12:59.186 INFO  ProgressMeter -          11:61882876             35.4              82650000        2337157.7
20:13:09.199 INFO  ProgressMeter -          11:65120757             35.5              82861000        2332118.9
20:13:19.651 INFO  ProgressMeter -          11:65499332             35.7              83116000        2327882.6
20:13:29.954 INFO  ProgressMeter -          11:65499494             35.9              83266000        2320921.5
20:13:39.987 INFO  ProgressMeter -          11:65499588             36.0              83445000        2315120.3
20:13:51.582 INFO  ProgressMeter -          11:65500735             36.2              83641000        2308182.7
20:14:01.588 INFO  ProgressMeter -          11:73735563             36.4              83927000        2305465.1
20:14:11.599 INFO  ProgressMeter -          11:86524055             36.6              84177000        2301782.7
20:14:21.686 INFO  ProgressMeter -         11:118407039             36.7              84460000        2298952.8
20:14:31.692 INFO  ProgressMeter -           12:5949003             36.9              84751000        2296449.4
20:14:41.707 INFO  ProgressMeter -          12:10719117             37.1              85010000        2293096.0
20:14:51.707 INFO  ProgressMeter -          12:24114359             37.2              85289000        2290325.2
20:15:02.149 INFO  ProgressMeter -          12:48829870             37.4              85508000        2285524.9
20:15:13.302 INFO  ProgressMeter -          12:55725583             37.6              85775000        2281326.9
20:15:23.309 INFO  ProgressMeter -          12:62471928             37.8              86016000        2277633.3
20:15:33.312 INFO  ProgressMeter -          12:89348219             37.9              86291000        2274872.6
20:15:43.326 INFO  ProgressMeter -         12:106855737             38.1              86539000        2271416.5
20:15:54.799 INFO  ProgressMeter -         12:120694220             38.3              86797000        2266811.4
20:16:04.803 INFO  ProgressMeter -          13:28433952             38.5              87131000        2265668.4
20:16:14.825 INFO  ProgressMeter -          13:41470649             38.6              87378000        2262265.3
20:16:24.866 INFO  ProgressMeter -          13:45338692             38.8              87577000        2257635.7
20:16:34.872 INFO  ProgressMeter -          13:91347212             39.0              87844000        2254825.0
20:16:45.911 INFO  ProgressMeter -         13:113264249             39.1              88114000        2251124.4
20:16:55.931 INFO  ProgressMeter -          14:39032025             39.3              88419000        2249319.8
20:17:05.940 INFO  ProgressMeter -          14:61472406             39.5              88651000        2245691.7
20:17:16.219 INFO  ProgressMeter -          14:85560392             39.6              88939000        2243253.0
20:17:26.713 INFO  ProgressMeter -          14:98973045             39.8              89191000        2239727.8
20:17:36.714 INFO  ProgressMeter -          15:20497163             40.0              89424000        2236218.7
20:17:46.758 INFO  ProgressMeter -          15:43407433             40.2              89788000        2235961.1
20:17:56.766 INFO  ProgressMeter -          15:46376904             40.3              90000000        2231969.4
20:18:08.591 INFO  ProgressMeter -          15:65133536             40.5              90291000        2228295.1
20:18:18.747 INFO  ProgressMeter -          15:77343648             40.7              90580000        2226128.0
20:18:28.758 INFO  ProgressMeter -          15:92028284             40.9              90778000        2221883.2
20:18:40.803 INFO  ProgressMeter -           16:4477320             41.1              91115000        2219227.3
20:18:50.823 INFO  ProgressMeter -          16:21834670             41.2              91397000        2217077.8
20:19:00.851 INFO  ProgressMeter -          16:29879198             41.4              91639000        2213972.1
20:19:10.857 INFO  ProgressMeter -          16:56609297             41.6              91908000        2211560.6
20:19:20.889 INFO  ProgressMeter -          16:67952490             41.7              92173000        2209049.6
20:19:32.485 INFO  ProgressMeter -          16:87851373             41.9              92424000        2204852.5
20:19:42.494 INFO  ProgressMeter -           17:2638175             42.1              92696000        2202576.0
20:19:52.494 INFO  ProgressMeter -           17:8377678             42.3              92895000        2198597.6
20:20:02.502 INFO  ProgressMeter -          17:30131990             42.4              93195000        2197024.6
20:20:12.537 INFO  ProgressMeter -          17:38850412             42.6              93392000        2193022.0
20:20:25.113 INFO  ProgressMeter -          17:42762793             42.8              93637000        2188006.2
20:20:35.123 INFO  ProgressMeter -          17:59565610             43.0              93934000        2186422.6
20:20:45.134 INFO  ProgressMeter -          17:69308290             43.1              94153000        2183042.0
20:20:55.141 INFO  ProgressMeter -          17:80933810             43.3              94413000        2180637.7
20:21:05.156 INFO  ProgressMeter -          18:13567511             43.5              94746000        2179925.7
20:21:16.338 INFO  ProgressMeter -          18:58165957             43.6              95001000        2176459.4
20:21:26.338 INFO  ProgressMeter -           19:3209329             43.8              95332000        2175734.9
20:21:36.342 INFO  ProgressMeter -           19:9849571             44.0              95587000        2173284.7
20:21:49.400 INFO  ProgressMeter -          19:13765009             44.2              95826000        2167991.1
20:21:59.402 INFO  ProgressMeter -          19:18280705             44.4              96088000        2165750.6
20:22:09.403 INFO  ProgressMeter -          19:38632636             44.5              96306000        2162539.6
20:22:19.403 INFO  ProgressMeter -          19:44237061             44.7              96563000        2160225.9
20:22:29.512 INFO  ProgressMeter -          19:48902955             44.9              96787000        2157106.6
20:22:40.605 INFO  ProgressMeter -          19:54207418             45.1              97024000        2153515.0
20:22:50.633 INFO  ProgressMeter -           2:17722460             45.2              97361000        2153008.1
20:23:00.648 INFO  ProgressMeter -           2:33030064             45.4              97583000        2149981.5
20:23:10.671 INFO  ProgressMeter -           2:54527170             45.6              97868000        2148353.7
20:23:20.685 INFO  ProgressMeter -           2:64729289             45.7              98101000        2145607.5
20:23:30.692 INFO  ProgressMeter -           2:84906478             45.9              98331000        2142821.3
20:23:40.696 INFO  ProgressMeter -          2:102344815             46.1              98627000        2141490.8
20:23:50.707 INFO  ProgressMeter -          2:135753132             46.2              98864000        2138888.0
20:24:01.160 INFO  ProgressMeter -          2:172479659             46.4              99139000        2136783.7
20:24:11.173 INFO  ProgressMeter -          2:191835431             46.6              99379000        2134279.7
20:24:21.185 INFO  ProgressMeter -          2:207609210             46.7              99639000        2132222.4
20:24:31.187 INFO  ProgressMeter -          2:231256329             46.9              99863000        2129419.6
20:24:41.449 INFO  ProgressMeter -            20:300048             47.1             100073000        2126143.4
20:24:51.831 INFO  ProgressMeter -          20:29299549             47.2             100427000        2125849.3
